"ID","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Trans_Amt","Total_Trans_Ct","Avg_Utilization_Ratio"
714073983,"Existing Customer",47,"M",2,"Unknown","Single","$40K - $60K",36,6,3,3,7327,0,7327,1788,46,0
718076733,"Existing Customer",43,"M",1,"Graduate","Single","$60K - $80K",31,4,3,3,25824,1170,24654,3101,73,0.045
710511858,"Existing Customer",58,"F",0,"Unknown","Married","Less than $40K",36,3,3,3,3832,1439,2393,4741,88,0.376
766273533,"Existing Customer",53,"M",2,"Uneducated","Unknown","$80K - $120K",46,3,6,3,17190,1736,15454,15055,117,0.101
779249583,"Existing Customer",56,"F",1,"Graduate","Married","Less than $40K",38,4,3,3,2578,2462,116,1378,29,0.955
711566208,"Existing Customer",58,"F",3,"Graduate","Married","Less than $40K",36,2,2,2,5023,1857,3166,14111,98,0.37
714267858,"Existing Customer",44,"F",2,"High School","Single","Unknown",37,6,2,1,4559,1680,2879,4934,76,0.369
716510658,"Attrited Customer",50,"F",0,"Doctorate","Single","Less than $40K",38,4,3,3,2595,2353,242,2526,41,0.907
716673258,"Existing Customer",60,"F",1,"Unknown","Single","Less than $40K",36,1,1,3,2347,1488,859,3977,83,0.634
708694983,"Existing Customer",55,"F",1,"Uneducated","Unknown","Less than $40K",36,1,2,1,3150,2222,928,14750,96,0.705
708314808,"Existing Customer",53,"F",2,"College","Married","Unknown",41,5,1,3,5659,1393,4266,1570,40,0.246
770938533,"Existing Customer",45,"M",1,"College","Unknown","$120K +",32,3,1,3,3304,1370,1934,3914,70,0.415
716995083,"Existing Customer",52,"M",2,"High School","Single","$80K - $120K",44,6,2,4,2650,1049,1601,4218,64,0.396
779523258,"Existing Customer",34,"M",2,"Graduate","Married","$40K - $60K",17,6,2,1,3323,1062,2261,4610,78,0.32
779065458,"Existing Customer",56,"M",1,"High School","Married","$120K +",37,4,1,3,9257,0,9257,4212,72,0
713206683,"Attrited Customer",40,"M",4,"Graduate","Single","$80K - $120K",22,3,1,3,34516,0,34516,1028,26,0
714528258,"Existing Customer",46,"M",2,"Graduate","Divorced","$60K - $80K",39,3,1,1,3299,870,2429,4904,75,0.264
716455683,"Existing Customer",40,"F",3,"High School","Single","Less than $40K",36,3,2,3,15534,726,14808,1279,28,0.047
788920308,"Existing Customer",51,"F",2,"High School","Married","Less than $40K",37,3,2,1,2258,1250,1008,4368,75,0.554
717602733,"Existing Customer",47,"M",3,"Doctorate","Single","Less than $40K",35,4,3,2,1842,0,1842,4165,67,0
806165208,"Existing Customer",47,"M",1,"Doctorate","Divorced","$60K - $80K",42,5,2,0,20979,1800,19179,1178,27,0.086
715776033,"Existing Customer",46,"M",5,"Uneducated","Single","$60K - $80K",33,4,1,3,3135,0,3135,4116,68,0
713886333,"Attrited Customer",47,"M",2,"High School","Married","$60K - $80K",39,2,3,1,18660,728,17932,1682,43,0.039
780881358,"Existing Customer",35,"M",3,"Graduate","Single","$40K - $60K",17,6,3,2,16659,0,16659,2551,74,0
720096558,"Existing Customer",55,"F",2,"Graduate","Married","Less than $40K",42,5,3,3,2216,1034,1182,1540,36,0.467
766795983,"Existing Customer",46,"F",1,"Unknown","Single","Less than $40K",40,4,2,2,1438.3,0,1438.3,4692,91,0
780055308,"Existing Customer",43,"F",3,"College","Single","Less than $40K",28,3,1,3,1438.3,0,1438.3,4482,54,0
715566408,"Existing Customer",45,"F",3,"Doctorate","Married","Less than $40K",36,1,2,2,2143,1479,664,4404,77,0.69
780598383,"Existing Customer",35,"M",3,"Doctorate","Single","$40K - $60K",23,4,3,2,2148,1545,603,2167,65,0.719
717477783,"Attrited Customer",49,"F",4,"Unknown","Single","Less than $40K",37,1,2,2,10195,2389,7806,1563,36,0.234
788782008,"Existing Customer",49,"F",3,"Unknown","Married","Less than $40K",30,4,3,2,15987,0,15987,4146,69,0
825756333,"Existing Customer",55,"F",0,"Uneducated","Married","Less than $40K",51,4,3,1,2041,1885,156,2118,48,0.924
712790358,"Attrited Customer",39,"F",3,"Uneducated","Married","Unknown",30,6,3,4,3023,1348,1675,2219,44,0.446
715078383,"Existing Customer",64,"F",0,"Graduate","Married","Unknown",36,3,1,3,7646,1010,6636,1667,47,0.132
780078333,"Existing Customer",56,"M",2,"Unknown","Married","$60K - $80K",41,3,2,2,5887,659,5228,1193,26,0.112
780360558,"Existing Customer",33,"F",1,"Graduate","Married","Less than $40K",20,2,2,2,1507,0,1507,4698,87,0
709399908,"Existing Customer",34,"F",2,"Graduate","Single","$40K - $60K",23,4,2,2,7594,1442,6152,15026,99,0.19
767376483,"Existing Customer",27,"F",1,"College","Married","Less than $40K",20,5,3,3,1893,0,1893,5176,91,0
778180158,"Existing Customer",44,"M",4,"Doctorate","Divorced","$80K - $120K",34,5,1,4,7150,1887,5263,3636,69,0.264
819363708,"Existing Customer",43,"M",1,"Post-Graduate","Single","$60K - $80K",38,4,2,3,2387,1482,905,3909,67,0.621
717225258,"Existing Customer",35,"M",2,"Graduate","Single","$120K +",27,6,2,2,13655,1048,12607,2383,59,0.077
